lb	mle	ub	ce	Z	cZ
Tcfcp2l1	5.05580222097576	6.55540457465501	8.18354427293536	5.05580222097576	7.16081298188234	6.44023056944118
Tdh	5.74133472551485	7.1980912976604	8.61200208827228	5.74133472551485	7.16081298188234	6.44023056944118
Pou5f1	5.65564316244745	6.72678770078978	7.79793223913212	5.65564316244745	7.16081298188234	6.44023056944118
Gm13242	4.79872753177362	5.99840941471699	7.15524551612673	4.79872753177362	7.16081298188234	6.44023056944118
Ifitm1	5.27003112864424	6.46971301158764	7.62654911299734	5.27003112864424	7.16081298188234	6.44023056944118
Apoe	5.18433956557683	6.46971301158764	7.79793223913212	5.18433956557683	7.16081298188234	6.44023056944118
Dppa5a	7.02670817152562	8.3977731806038	9.59745506354721	7.02670817152562	7.16081298188234	6.44023056944118
r_MMETn-int	5.61279738091378	6.85532504539085	8.14069849140166	5.61279738091378	7.16081298188234	6.44023056944118
r_RLTRETN_Mm	7.41232020532887	8.61200208827228	9.76883818968198	7.41232020532887	7.16081298188234	6.44023056944118
r_LTRIS3	5.31287691017794	6.42686723005394	7.62654911299734	5.31287691017794	7.16081298188234	6.44023056944118
r_LTRIS2	6.98386238999196	8.09785270986796	9.21184302974396	6.98386238999196	7.16081298188234	6.44023056944118
Tdgf1	4.71303596870622	5.86987207011592	7.11239973459303	4.71303596870622	7.16081298188234	6.44023056944118
Trh	4.71303596870622	6.34117566698654	7.75508645759841	4.71303596870622	7.16081298188087	6.44023056944118
Gapdh	3.81327455649866	4.92726487637469	6.04125519625069	3.81327455649866	7.16081298164608	6.44023056944118
Bex1	4.1560408087682	5.3557226917116	6.55540457465501	4.1560408087682	7.16081298162701	6.44023056944118
Zfp42	4.02750346416713	5.31287691017794	6.64109613772241	4.02750346416713	7.16081298027262	6.44023056944118
Bex4	3.94181190109976	5.09864800250946	6.34117566698654	3.94181190109976	7.16081298025233	6.44023056944118
Tet1	3.85612033803236	5.18433956557683	6.64109613772241	3.85612033803236	7.16081295075448	6.44023056944118
Sox2	4.32742393490297	5.82702628858222	7.15524551612673	4.32742393490297	7.16081293013718	6.44023056944118
Pycard	3.77042877496499	5.05580222097576	6.59825035618871	3.77042877496499	7.16081292818381	6.44023056944118
Ucp2	4.58449862410515	6.1269467593181	7.2837828607278	4.58449862410515	7.16081245191476	6.44023056944118
r_RLTR9E	3.42766252269544	4.54165284257145	5.69848894398115	3.42766252269544	7.16081157627592	6.44023056944118
2610305D13Rik	3.72758299343129	5.05580222097576	6.46971301158764	3.72758299343129	7.16080840947633	6.44023056944118
Chchd10	3.59904564883022	4.79872753177362	6.1269467593181	3.59904564883022	7.16076980405992	6.44023056944118
Rex2	3.59904564883022	4.88441909484099	6.25548410391917	3.59904564883022	7.16061426409217	6.44023056944118
r_RLTR17	3.21343361502697	4.32742393490297	6.72678770078978	3.21343361502697	7.16060037378494	6.44023056944118
Gm13138	3.55619986729651	4.88441909484099	6.21263832238547	3.55619986729651	7.16052584956487	6.44023056944118
Gm13051	3.55619986729651	4.92726487637469	6.29832988545287	3.55619986729651	7.16023450550607	6.44023056944118
Gm10052	2.91351314429112	3.98465768263343	5.05580222097576	2.91351314429112	7.16018894999599	6.44023056944118
Hmgb2	3.77042877496499	5.44141425477901	7.71224067606471	3.77042877496499	7.16005129444684	6.44023056944118
Mybl2	3.38481674116174	4.67019018717252	5.91271785164962	3.38481674116174	7.15958668254211	6.44023056944118
Zfp600	3.59904564883022	4.88441909484099	6.25548410391917	3.59904564883022	7.1592525800912	6.44023056944118
Esrrb	3.85612033803236	5.3557226917116	6.55540457465501	3.85612033803236	7.15864293163025	6.44023056944118
Rps5	2.87066736275743	3.81327455649866	4.49880706103774	2.87066736275743	7.15856020142512	6.44023056944118
Fxyd6	3.08489627042589	4.32742393490297	5.69848894398115	3.08489627042589	7.1585195819173	6.44023056944118
Rpl4	2.14228907668465	2.87066736275743	3.51335408576281	2.14228907668465	7.15833616370223	6.44023056944118
Lin28a	3.77042877496499	5.61279738091378	7.88362380219949	3.77042877496499	7.15833598423674	6.44023056944118
Col12a1	-6.04125519625069	-4.67019018717252	-3.38481674116174	-3.38481674116174	-7.157582634897	-6.44023056944118
r_RLTR1B-int	3.12774205195958	4.58449862410515	6.55540457465501	3.12774205195958	7.1561857700929	6.44023056944118
Mmp2	-5.99840941471699	-4.71303596870622	-3.42766252269544	-3.42766252269544	-7.15370616739556	-6.44023056944118
r_L1Md_T	2.69928423662265	3.89896611956606	4.92726487637469	2.69928423662265	7.15043277727664	6.44023056944118
Gm13154	3.34197095962804	4.67019018717252	6.1269467593181	3.34197095962804	7.12673641303167	6.4176907655276
Upp1	3.85612033803236	5.3557226917116	6.64109613772241	3.85612033803236	7.11782279307991	6.41141968536907
r_(A)n	2.95635892582481	4.11319502723453	4.97011065790839	2.95635892582481	7.09042435259567	6.38463542678198
r_RLTR27	3.08489627042589	4.49880706103774	5.82702628858222	3.08489627042589	7.08278951255056	6.3796337753397
Tcl1	3.42766252269544	4.75588175023992	6.25548410391917	3.42766252269544	7.03040975860962	6.32507341184007
r_(T)n	2.82782158122373	3.98465768263343	4.84157331330729	2.82782158122373	6.99548072306764	6.28973491083027
Utf1	3.64189143036388	5.05580222097576	6.42686723005394	3.64189143036388	6.94731395667456	6.23965176509556
Col1a1	-5.09864800250946	-3.98465768263343	-2.87066736275743	-2.87066736275743	-6.87955251639078	-6.16772429592279
H2afz	2.69928423662265	3.89896611956606	5.05580222097576	2.69928423662265	6.82497276108048	6.11029873989537
RNA_SPIKE_4	3.34197095962804	5.27003112864424	7.54085754992994	3.34197095962804	6.81952457511776	6.10740418147184
S100a11	-4.84157331330729	-3.77042877496499	-2.69928423662265	-2.69928423662265	-6.80474881763655	-6.09408746080857
Lefty2	3.68473721189758	5.22718534711053	6.55540457465501	3.68473721189758	6.72690730141455	6.01056078311833
Psap	-4.88441909484099	-3.81327455649866	-2.74213001815634	-2.74213001815634	-6.69262346979355	-5.97540774749035
r_GC_rich	2.48505532895419	3.68473721189758	4.88441909484099	2.48505532895419	6.63959685928357	5.91928235118652
r_ETnERV-int	2.69928423662265	3.94181190109976	5.44141425477901	2.69928423662265	6.62560294847406	5.90663393794741
Slc2a3	3.0420504888922	4.37026971643667	5.65564316244745	3.0420504888922	6.58247455028748	5.8614118488604
Rdm1	3.08489627042589	4.67019018717252	6.04125519625069	3.08489627042589	6.57870932468527	5.86009448122609
Ccnd2	-5.01295643944206	-3.77042877496499	-2.61359267355527	-2.61359267355527	-6.56192007669481	-5.84418810171388
Anxa2	-4.88441909484099	-3.72758299343129	-2.61359267355527	-2.61359267355527	-6.55670715524464	-5.84116603995354
Sept1	2.91351314429112	4.2417323718356	5.74133472551485	2.91351314429112	6.5310081028809	5.81522608772296
